id,project_id,resource_id,submitted_by,rating,feedback_text,created_at
f1,p1,r24,c2,2,Missed several deadlines.,2023-11-13
f2,p1,r9,c2,2,Communication issues affected delivery.,2023-11-12
f3,p1,r10,c2,2,Communication issues affected delivery.,2023-11-12
f4,p1,r29,c2,4,Very professional and skilled resource.,2023-11-11
f5,p2,r1,c9,3,Delivered on time with acceptable quality.,2023-03-25
f6,p2,r6,c9,4,Great work on this project!,2023-03-27
f7,p2,r21,c9,4,Excellent contribution to the team.,2023-03-24
f8,p2,r27,c9,2,Missed several deadlines.,2023-03-23
f9,p2,r8,c9,4,Great work on this project!,2023-03-23
f10,p3,r5,c3,5,Very professional and skilled resource.,2022-10-20
f11,p3,r11,c3,4,Great work on this project!,2022-10-18
f12,p4,r2,c9,2,Communication issues affected delivery.,2023-01-07
f13,p5,r27,c1,3,Delivered on time with acceptable quality.,2023-02-14
f14,p5,r4,c1,5,Great work on this project!,2023-02-13
f15,p5,r17,c1,5,Delivered high-quality work consistently.,2023-02-16
f16,p5,r10,c1,4,"A pleasure to work with, highly recommended.",2023-02-12
f17,p5,r21,c1,5,"A pleasure to work with, highly recommended.",2023-02-11
f18,p5,r23,c1,4,Excellent contribution to the team.,2023-02-16
f19,p5,r15,c1,5,Very professional and skilled resource.,2023-02-10
f20,p5,r13,c1,5,Excellent contribution to the team.,2023-02-16
f21,p6,r18,c3,5,"A pleasure to work with, highly recommended.",2022-10-10
f22,p6,r12,c3,5,Great work on this project!,2022-10-10
f23,p6,r1,c3,3,Solid performance overall.,2022-10-11
f24,p7,r21,c4,4,Very professional and skilled resource.,2023-02-02
f25,p7,r2,c4,3,Delivered on time with acceptable quality.,2023-02-07
f26,p7,r30,c4,3,Completed the work as expected.,2023-02-02
f27,p8,r11,c1,2,Missed several deadlines.,2023-06-17
f28,p8,r15,c1,2,Communication issues affected delivery.,2023-06-16
f29,p8,r8,c1,4,"A pleasure to work with, highly recommended.",2023-06-14
f30,p9,r18,c8,5,Great work on this project!,2022-03-27
f31,p9,r8,c8,4,Delivered high-quality work consistently.,2022-03-25
f32,p9,r14,c8,4,Very professional and skilled resource.,2022-03-23
f33,p9,r26,c8,3,Solid performance overall.,2022-03-25
f34,p9,r10,c8,5,"A pleasure to work with, highly recommended.",2022-03-25
f35,p9,r7,c8,4,Great work on this project!,2022-03-23
f36,p10,r17,c10,4,Great work on this project!,2023-12-26
f37,p10,r14,c10,2,Work required significant revisions.,2024-01-01
f38,p10,r15,c10,3,Completed the work as expected.,2023-12-26
f39,p10,r19,c10,3,Met the requirements adequately.,2023-12-27
f40,p10,r6,c10,4,Excellent contribution to the team.,2023-12-30
f41,p10,r23,c10,4,Very professional and skilled resource.,2023-12-26
f42,p11,r7,c3,5,Great work on this project!,2023-02-14
f43,p11,r21,c3,3,Solid performance overall.,2023-02-15
f44,p11,r30,c3,4,Delivered high-quality work consistently.,2023-02-13
f45,p11,r25,c3,3,Solid performance overall.,2023-02-12
f46,p11,r12,c3,5,Very professional and skilled resource.,2023-02-11
f47,p11,r18,c3,3,Met the requirements adequately.,2023-02-14
f48,p11,r26,c3,5,Great work on this project!,2023-02-14
f49,p12,r9,c1,2,Communication issues affected delivery.,2023-06-07
f50,p12,r10,c1,4,Great work on this project!,2023-06-05
f51,p12,r23,c1,3,Solid performance overall.,2023-06-06
f52,p12,r4,c1,2,Work required significant revisions.,2023-06-01
f53,p12,r26,c1,2,Work required significant revisions.,2023-06-05
f54,p12,r11,c1,4,Great work on this project!,2023-06-02
f55,p12,r2,c1,3,Delivered on time with acceptable quality.,2023-06-07
f56,p13,r18,c5,5,"A pleasure to work with, highly recommended.",2022-07-18
f57,p13,r20,c5,5,Very professional and skilled resource.,2022-07-19
f58,p13,r10,c5,4,Great work on this project!,2022-07-16
f59,p13,r22,c5,4,Very professional and skilled resource.,2022-07-17
f60,p13,r11,c5,5,Great work on this project!,2022-07-15
f61,p13,r7,c5,3,Completed the work as expected.,2022-07-15
f62,p14,r25,c3,3,Delivered on time with acceptable quality.,2022-09-16
f63,p14,r29,c3,4,"A pleasure to work with, highly recommended.",2022-09-16
f64,p14,r4,c3,3,Worked well with the team.,2022-09-18
